date,count
2023-08-16,1069
2023-08-17,1045
2023-08-18,989
2023-08-19,848
2023-08-20,960
2023-08-21,1181
2023-08-22,1175
2023-08-23,1094
2023-08-24,1098
2023-08-25,978
2023-08-26,856
2023-08-27,901
2023-08-28,1086
2023-08-29,1367
2023-08-30,1488
2023-08-31,1446
2023-09-01,1512
2023-09-02,1327
2023-09-03,1636
2023-09-04,1969
2023-09-05,1889
2023-09-06,1858
2023-09-07,1707
2023-09-08,1548
2023-09-09,1332
2023-09-10,1580
2023-09-11,1824
2023-09-12,1675
2023-09-13,1522
2023-09-14,1532
2023-09-15,1341
2023-09-16,1318
2023-09-17,1605
2023-09-18,1927
2023-09-19,1949
2023-09-20,1892
2023-09-21,1824
2023-09-22,1679
2023-09-23,1555
2023-09-24,2007
2023-09-25,2559
2023-09-26,2696
2023-09-27,2667
2023-09-28,2315
2023-09-29,2124
2023-09-30,1927
2023-10-01,2360
2023-10-02,2644
2023-10-03,2656
2023-10-04,2446
2023-10-05,2253
2023-10-06,2115
2023-10-07,1665
2023-10-08,2068
2023-10-09,2233
2023-10-10,2027
2023-10-11,1892
2023-10-12,1543
2023-10-13,1465
2023-10-14,1119
2023-10-15,1219
2023-10-16,1445
2023-10-17,1408
2023-10-18,1395
2023-10-19,1318
2023-10-20,1144
2023-10-21,868
2023-10-22,988
2023-10-23,1175
2023-10-24,1151
2023-10-25,1021
2023-10-26,1012
2023-10-27,932
2023-10-28,737
2023-10-29,847
2023-10-30,1011
2023-10-31,953
2023-11-01,865
2023-11-02,809
2023-11-03,733
2023-11-04,592
2023-11-05,683
2023-11-06,780
2023-11-07,817
2023-11-08,693
2023-11-09,493
2023-11-10,274
2023-11-11,289
2023-11-12,593
2023-11-13,738
2023-11-14,760
2023-11-15,629
2023-11-16,660
2023-11-17,510
2023-11-18,449
2023-11-19,547
2023-11-20,695
2023-11-21,589
2023-11-22,610
2023-11-23,562
2023-11-24,534
2023-11-25,422
2023-11-26,506
2023-11-27,677
2023-11-28,675
2023-11-29,727
2023-11-30,654
2023-12-01,538
2023-12-02,519
2023-12-03,687
2023-12-04,948
2023-12-05,932
2023-12-06,945
2023-12-07,807
2023-12-08,882
2023-12-09,771
